"RecordIDS","AverageConsistency","Latitude-Consistency","Latitude-Values","Country-Consistency","Country-Values","Magnitude-Consistency","Magnitude-Values","Depth-Consistency","Depth-Values","Time-Consistency","Time-Values","Date-Consistency","Date-Values","TotalDamages-Consistency","TotalDamages-Values","Longitude-Consistency","Longitude-Values","Deaths-Consistency","Deaths-Values"
"File1_4117+File2_2537","0.8571428571428571","1.0","{140.7|140.827}","1.0","{JAPAN|JAPAN}","1.0","{7.4|7.4}","0.0","{66.0|55.0}","1.0","{10:16:12|10:16:12}","1.0","{1972-12-04|1972-12-04}",,,"1.0","{33.3|33.362}",,
"File1_4687+File2_10289+File2_10295","0.7777777777777779","0.6666666666666666","{-84.302|-177.556|-84.302}","0.6666666666666666","{COSTA RICA|WALLIS AND FUTUNA|COSTA RICA}","1.0","{5.7|5.9|6.0}","0.6666666666666666","{17.0|10.0|17.3}","0.6666666666666666","{17:27:54|03:26:43|17:27:55}","0.6666666666666666","{1990-12-22|1990-12-21|1990-12-22}","1.0","{19.0}","0.6666666666666666","{9.869|-16.626|9.869}","1.0","{2.0}"
"File1_4195+File2_3743","0.8571428571428571","1.0","{-172.467|-172.467}","0.0","{SAMOA|TONGA}","1.0","{7.8|7.8}","1.0","{33.0|33.0}","1.0","{15:56:38|15:56:39}","1.0","{1975-12-26|1975-12-26}",,,"1.0","{-16.265|-16.264}",,
"File2_21417+File3_1160","1.0","1.0","{125.044|125.044}","1.0","{PHILIPPINES|PHILIPPINES}","1.0","{5.7|6.0}","1.0","{10.0}","1.0","{19:44:22|19:44}","1.0","{2012-09-03|2012-09-03}",,,"1.0","{7.905|7.905}",,
"File1_5776+File2_21901+File3_1170","0.8888888888888888","1.0","{65.501|65.5009|65.5009}","1.0","{PAKISTAN|PAKISTAN|PAKISTAN}","1.0","{7.7|7.7|8.0}","1.0","{15.0|15.0}","1.0","{11:30:37|11:29:48|11:29}","1.0","{2013-09-24|2013-09-24|2013-09-24}","1.0","{100.0}","1.0","{26.951|26.951|26.951}","0.0","{825.0|399.0}"
"File1_4071+File2_1961","0.7142857142857143","1.0","{-69.8|-69.825}","1.0","{DOMINICAN REPUBLIC|DOMINICAN REPUBLIC}","0.0","{6.1|6.5}","0.0","{57.0|35.0}","1.0","{12:56:04|12:56:04}","1.0","{1971-06-11|1971-06-11}",,,"1.0","{18.0|17.907}",,
"File1_4651+File2_9948+File2_9949+File2_9950+File3_0501","0.8555555555555555","0.8","{100.245|100.274|100.245|100.254|100.245}","1.0","{CHINA|CHINA|CHINA|CHINA|CHINA}","0.6","{6.9|6.3|6.5|6.3|7.0}","0.5","{8.0|10.0|8.1|9.6}","1.0","{09:37:15|09:37:11|09:37:15|09:37:45}","1.0","{1990-04-26|1990-04-26|1990-04-26|1990-04-26|1990-04-26}","1.0","{58.0|58.0}","0.8","{35.986|36.04|35.986|36.239|35.986}","1.0","{126.0|126.0}"
"File1_4997+File2_15117+File3_0802","0.7916666666666666","0.6666666666666666","{152.327|152.169|152.169}","1.0","{PAPUA NEW GUINEA|PAPUA NEW GUINEA|PAPUA NEW GUINEA}","1.0","{8.0|8.0|8.0}","0.0","{17.0|33.0}","1.0","{04:54:55|04:54:57|04:54}","1.0","{2000-11-16|2000-11-16|2000-11-16}",,,"0.6666666666666666","{-4.001|-3.98|-3.98}","1.0","{2.0|2.0}"
"File1_4729+File2_10686+File3_0568","1.0","1.0","{21.115|21.115|21.3}","1.0","{ROMANIA|ROMANIA|ROMANIA}","1.0","{5.5|5.5|6.0}","1.0","{9.0|9.0}","1.0","{08:49:40|08:49:40}","1.0","{1991-12-02|1991-12-02|1991-12-02}",,,"1.0","{45.498|45.498|45.5}",,
"File1_5293+File2_17658+File2_17659+File3_0966","0.9375","1.0","{55.858|55.858|55.806|55.858}","0.75","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{6.0|5.9|5.5|6.0}","1.0","{10.0|10.0|10.0}","0.75","{10:22:19|10:22:19|16:30:38|10:23}","1.0","{2005-11-27|2005-11-27|2005-11-27|2005-11-27}",,,"1.0","{26.774|26.774|26.842|26.774}","1.0","{13.0|13.0}"
"File1_5662+File2_20956","0.7142857142857143","1.0","{-77.933|-77.9363333}","0.0","{USA|UNITED STATES}","1.0","{5.8|5.8}","0.0","{6.0|0.02}","1.0","{17:51:04|17:51:04}","1.0","{2011-08-23|2011-08-23}",,,"1.0","{37.936|37.9096667}",,
"File1_4294+File2_5103+File3_0379","1.0","1.0","{-101.276|-101.276|-101.276}","1.0","{MEXICO|MEXICO|MEXICO}","1.0","{7.6|7.6|8.0}","1.0","{49.0|49.0}","1.0","{11:07:16|11:07:16|11:07}","1.0","{1979-03-14|1979-03-14|1979-03-14}","1.0","{30.0|30.0}","1.0","{17.813|17.813|17.813}","1.0","{5.0|5.0}"
"File1_4440+File2_6783","0.8571428571428571","1.0","{133.899|133.899}","1.0","{JAPAN|JAPAN}","0.0","{5.2|5.5}","1.0","{27.0|26.9}","1.0","{16:51:57|16:51:57}","1.0","{1983-10-30|1983-10-30}",,,"1.0","{35.464|35.464}",,
"File1_4917+File1_4918+File2_14034+File2_14035+File3_0659+File3_0660","0.6481481481481481","0.5","{-28.626|48.507|-28.626|48.507|48.507|-28.626}","0.3333333333333333","{AZORES (PORTUGAL)|ARMENIA|PORTUGAL|AZERBAIJAN|AZERBAIJAN|PORTUGAL}","1.0","{6.2|6.0|6.2|6.0|6.0|6.0}","0.5","{10.0|26.0|10.0|26.0}","0.5","{05:19:07|14:19:18|05:19:07|14:19:18|10:15|05:00}","0.8333333333333334","{1998-07-09|1998-07-09|1998-07-09|1998-07-09|1998-07-09|1998-07-08}","1.0","{72.0|72.0}","0.5","{38.65|38.717|38.65|38.717|38.717|38.65}","0.6666666666666666","{10.0|1.0|10.0}"
"File1_4791+File2_11812+File2_11813+File3_0596","0.8796296296296297","1.0","{60.596|60.596|60.519|60.596}","0.75","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{6.1|6.1|5.5|6.0}","0.6666666666666666","{6.0|6.0|10.0}","0.5","{08:02:04|08:02:05|11:54:33|12:00}","1.0","{1994-02-23|1994-02-23|1994-02-23|1994-02-23}","1.0","{1.0|1.0}","1.0","{30.853|30.853|30.765|30.853}","1.0","{6.0|9.0}"
"File1_5739+File2_21630+File3_1138","1.0","1.0","{-77.393|-77.393|-77.393}","1.0","{COLOMBIA|COLOMBIA|COLOMBIA}","1.0","{7.0|6.9|7.0}","1.0","{145.0|145.0}","1.0","{14:16:07|14:16:08|14:16}","1.0","{2013-02-09|2013-02-09|2013-02-09}","1.0","{4.0}","1.0","{1.135|1.135|1.135}",,
"File1_4102+File2_2294","0.875","1.0","{121.6|121.539}","1.0","{TAIWAN|TAIWAN}","1.0","{6.9|7.0}","0.0","{33.0|22.2}","1.0","{09:57:21|09:57:21}","1.0","{1972-04-24|1972-04-24}",,,"1.0","{23.6|23.564}","1.0","{4.0}"
"File1_4952+File2_14548","0.8571428571428571","1.0","{-116.271|-116.265}","0.0","{USA|UNITED STATES}","1.0","{7.2|7.1}","1.0","{13.73}","1.0","{09:46:44|09:46:44}","1.0","{1999-10-16|1999-10-16}",,,"1.0","{34.594|34.6033333}",,
"File1_4590+File2_9178","0.8571428571428571","1.0","{71.811|71.811}","1.0","{TAJIKISTAN|TAJIKISTAN}","0.0","{5.0|5.5}","1.0","{11.0|11.0}","1.0","{20:52:14|20:52:15}","1.0","{1988-09-25|1988-09-25}",,,"1.0","{37.18|37.18}",,
"File1_5890+File2_22947+File3_1202+File3_1222","1.0","1.0","{93.651|93.6505|93.65|93.65}","1.0","{INDIA|INDIA|INDIA|INDIA}","1.0","{6.7|6.7|7.0|7.0}","1.0","{55.0|55.0}","1.0","{23:05:27|23:05:22}","1.0","{2016-01-03|2016-01-03|2016-01-03|2016-01-03}","1.0","{75.0|75.0}","1.0","{24.804|24.8036|24.804|24.804}","1.0","{13.0|5.0|8.0}"
"File1_4240+File2_4297+File3_0293","0.7916666666666666","1.0","{50.68|50.683|50.68}","0.6666666666666666","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{5.9|5.9|6.0}","1.0","{41.0|41.0}","1.0","{13:36:37|13:36:37|13:36}","0.6666666666666666","{1977-04-06|1977-04-06|1977-04-07}",,,"1.0","{31.98|31.983|31.98}","0.0","{366.0|352.0}"
